uid	sample	species	rank	ecotype	collection
GCF_000960655.1	09-3217	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppUS2	Yang
GCF_000974905.1	09-3218	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001608935.1	09-3219	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppX	Yang
GCF_000972125.1	09-4434	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000960685.1	09-4435	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001608525.1	09-4436	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000972055.1	09-4660	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001559885.1	09-4661	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001609015.1	09-4662	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001006115.1	09-4663	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000972035.1	09-4664	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001608575.1	09-4665	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001609575.1	09-4666	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000972025.1	09-4681	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppX	Yang
GCF_000878805.1	10-4241	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppX	Yang
GCF_000878755.1	10-4242	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppX	Yang
GCF_000972105.1	10-4243	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppX	Yang
GCF_001006125.1	10-4244	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppX	Yang
GCF_000878725.1	10-4245	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppX	Yang
GCF_000878705.1	10-4246	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppX	Yang
GCF_000878665.1	10-4247	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppX	Yang
GCF_000878675.1	10-4248	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppX	Yang
GCF_001006105.1	10-4251	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001006195.1	10-4255	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppUS2	Yang
GCF_000878735.1	10-4274	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppX	Yang
GCF_001006185.1	10-4287	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppX	Yang
GCF_000878645.1	10-4288	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppX	Yang
GCF_000878595.1	10-4293	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppX	Yang
GCF_000878565.1	10-4298	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppX	Yang
GCF_000878575.1	10-4303	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppX	Yang
GCF_000878585.1	10-7197	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppX	Yang
GCF_001006205.1	10-7205	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCA_000732245.1	13-028/A2	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCA_000737635.1	13-028/A3	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000877425.1	97-10290	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppX	Yang
GCF_001188135.2	98-513-F52	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppUS1	Yang
GCF_001609055.1	A0EZ383	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001608655.1	A0EZ608	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppX	Yang
GCF_001608605.1	A0EZ664	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppX	Yang
GCF_001608705.1	A0EZ713	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppX	Yang
GCF_001609075.1	A1EZ679	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppX	Yang
GCF_001559895.1	A1EZ919	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppX	Yang
GCF_001609185.1	A1EZ952	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppUS2	Yang
GCF_001609095.1	A2EZ523	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppX	Yang
GCF_001608735.1	A2EZ614	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppUS2	Yang
GCF_001608675.1	A2EZ715	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppX	Yang
GCF_001608765.1	A2EZ743	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppUS1	Yang
GCF_001608785.1	A3EZ136	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001609105.1	A3EZ634	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppX	Yang
GCF_001608995.1	A3EZ710	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppUS2	Yang
GCF_001608975.1	A3EZ711	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppUS2	Yang
GCF_001609135.1	A3EZ770	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppX	Yang
GCF_001609155.1	A3EZ799	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppUS2	Yang
GCF_001609175.1	A3EZ936	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001559805.1	A4EZ700	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppUS2	Yang
GCF_001584415.1	A4EZ703	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppX	Yang
GCF_001595575.1	A4EZ724	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppUS2	Yang
GCF_001595565.1	A4EZ927	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001609715.1	A4EZ964	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppX	Yang
GCF_001608755.1	A5Z1022	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001609595.1	A5Z273	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001609515.1	A5Z652	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppX	Yang
GCF_001609525.1	A5Z853	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001609615.1	A5Z860	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppUS2	Yang
GCF_001609695.1	A5Z878	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppX	Yang
GCF_001609635.1	A5Z905	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppX	Yang
GCF_001609675.1	A5Z924	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppX	Yang
GCF_000958595.1	AF91	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000182385.1	AN-5034	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001270975.1	ATC220	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001558495.2	ATCC 17802	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000516875.2	B-265	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000328405.1	BB22OP	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001609655.1	C140	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001609375.1	C142	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001609395.1	C143	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppX	Yang
GCF_001609415.1	C144	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppX	Yang
GCF_001609345.1	C145	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001609445.1	C146	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001609495.1	C147	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppX	Yang
GCF_001609475.1	C148	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppUS2	Yang
GCF_001601695.1	C150	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001856105.1	CAIM 1772	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001727365.1	CDC_K4556R	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000430425.1	CDC_K4557	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001727735.1	CDC_K4558G	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppUS1	Yang
GCF_001727745.1	CDC_K4558W	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppX	Yang
GCF_001727775.1	CDC_K4588	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppUS2	Yang
GCF_001727805.1	CDC_K4636	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppX	Yang
GCF_001727815.1	CDC_K4637G	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001727825.1	CDC_K4637W	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001727845.1	CDC_K4638	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001727895.1	CDC_K4639G	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppX	Yang
GCF_001727885.1	CDC_K4639W	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppX	Yang
GCF_001727925.1	CDC_K4762	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001727915.1	CDC_K4763	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001727975.1	CDC_K4764D	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001727965.1	CDC_K4764L	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001728005.1	CDC_K4775	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001727995.1	CDC_K4842	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001728045.1	CDC_K4857G	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001728065.1	CDC_K4857W	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001728085.1	CDC_K4858	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001728095.1	CDC_K4859	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001728125.1	CDC_K4981	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppUS2	Yang
GCF_001728135.1	CDC_K5009W	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001728155.1	CDC_K5010G	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001728175.1	CDC_K5010W	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001728205.1	CDC_K5058	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001728215.1	CDC_K5059G	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001728235.1	CDC_K5059W	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001728255.1	CDC_K5067	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppUS2	Yang
GCF_001728275.1	CDC_K5073	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppUS1	Yang
GCF_001728295.1	CDC_K5125	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001728325.1	CDC_K5126	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppUS1	Yang
GCF_001728335.1	CDC_K5276	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001728345.1	CDC_K5277	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001728405.1	CDC_K5278	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppX	Yang
GCF_001727655.1	CDC_K5279	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001727625.1	CDC_K5280	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppX	Yang
GCF_001727575.1	CDC_K5281	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppX	Yang
GCF_001727505.1	CDC_K5306	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppUS1	Yang
GCF_001727485.1	CDC_K5308	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppX	Yang
GCF_001727475.1	CDC_K5323G	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001727415.1	CDC_K5323W	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001727395.1	CDC_K5324G	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppUS2	Yang
GCF_001727405.1	CDC_K5324W	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppUS2	Yang
GCF_001727665.1	CDC_K5328	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppX	Yang
GCF_001728375.1	CDC_K5330	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001728425.1	CDC_K5331	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001728465.1	CDC_K5345G	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppX	Yang
GCF_001728485.1	CDC_K5345W	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppX	Yang
GCF_001728415.1	CDC_K5346	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppX	Yang
GCF_001727645.1	CDC_K5428	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppX	Yang
GCF_001727585.1	CDC_K5429	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppX	Yang
GCF_001727385.1	CDC_K5433	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppX	Yang
GCF_001727465.1	CDC_K5435	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001727565.1	CDC_K5437	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppX	Yang
GCF_001727705.1	CDC_K5438	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001728495.1	CDC_K5439	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001728545.1	CDC_K5456	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppX	Yang
GCF_001728505.1	CDC_K5457	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppX	Yang
GCF_001728565.1	CDC_K5485	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppX	Yang
GCF_001728585.1	CDC_K5512	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppX	Yang
GCF_001728625.1	CDC_K5528	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001728575.1	CDC_K5579	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppUS2	Yang
