uid	sample	species	rank	ecotype	collection
GCF_000707905.2	CFSAN007454	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000706985.2	CFSAN007455	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppX	Yang
GCF_000707285.2	CFSAN007456	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000707085.2	CFSAN007457	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppX	Yang
GCF_000707365.2	CFSAN007458	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppUS1	Yang
GCF_000707185.2	CFSAN007459	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppX	Yang
GCF_000706965.2	CFSAN007460	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppX	Yang
GCF_000707205.2	CFSAN007461	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppX	Yang
GCF_000707645.2	CFSAN012491	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000707665.2	CFSAN012492	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000707265.2	CFSAN012493	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001695955.1	CFSAN018752	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001695995.1	CFSAN018753	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001695945.1	CFSAN018754	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001695935.1	CFSAN018755	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001696005.1	CFSAN018756	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001696015.1	CFSAN018757	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001696055.1	CFSAN018758	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001696085.1	CFSAN018760	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppUS1	Yang
GCF_001696065.1	CFSAN018761	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001696155.1	CFSAN018762	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001696135.1	CFSAN018763	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppUS2	Yang
GCF_001696145.1	CFSAN018764	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppX	Yang
GCF_001696165.1	CFSAN018765	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppX	Yang
GCF_001696215.1	CFSAN018766	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001696225.1	CFSAN018767	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppUS2	Yang
GCF_001634135.1	CFSAN025052	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001634165.1	CFSAN025053	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001634105.1	CFSAN025054	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001634125.1	CFSAN025055	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001634185.1	CFSAN025056	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001634205.1	CFSAN025057	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001634215.1	CFSAN025058	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001633985.1	CFSAN025059	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001634015.1	CFSAN025060	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001634245.1	CFSAN025061	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001633825.1	CFSAN025062	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001633845.1	CFSAN025063	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001633995.1	CFSAN025064	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001633835.1	CFSAN025065	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001633855.1	CFSAN025066	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001633905.1	CFSAN025067	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001633915.1	CFSAN025068	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001633935.1	CFSAN029653	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001633955.1	CFSAN029654	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001634035.1	CFSAN029656	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001700835.1	CHN25	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001023125.1	CT4287	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000510585.2	EKP-008	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000571915.2	EKP-021	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000525005.2	EKP-026	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000522005.2	EKP-028	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000877685.1	EN2910	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppX	Yang
GCA_000877715.1	EN9701072	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppUS2	Yang
GCA_000877725.1	EN9701121	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppX	Yang
GCF_000877555.1	EN9701173	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppX	Yang
GCF_000877565.1	EN9901310	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppX	Yang
GCF_001608915.1	F1419	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppUS2	Yang
GCF_001608815.1	F30368	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001608685.1	F4395	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppX	Yang
GCF_001608835.1	F63267	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000430405.1	FDA_R31	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppUS2	Yang
GCF_000732995.1	FIM-S1392-	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001433415.1	FORC_004	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppX	Yang
GCF_001304775.1	FORC_006	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001244315.1	FORC_008	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001636035.1	FORC_014	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001887055.1	FORC_018	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001879585.1	FORC_022	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001758605.1	FORC_023	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_002198475.1	G25	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppX	Yang
GCF_002198555.1	G30	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppX	Yang
GCF_002198565.1	G31	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppX	Yang
GCF_002198615.1	G35	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppX	Yang
GCF_002198575.1	G36	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppX	Yang
GCF_002198445.1	G37	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppX	Yang
GCF_001726175.1	GCSL_R10	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppUS2	Yang
GCF_001726975.1	GCSL_R108	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001727025.1	GCSL_R109	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001727055.1	GCSL_R110	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001727065.1	GCSL_R111	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppUS1	Yang
GCF_001726245.1	GCSL_R12	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppUS1	Yang
GCF_001727045.1	GCSL_R125	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppUS2	Yang
GCF_001727105.1	GCSL_R126	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001727115.1	GCSL_R129	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppUS2	Yang
GCF_001726255.1	GCSL_R13	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001975475.1	GCSL_R130	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001727125.1	GCSL_R131	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppX	Yang
GCF_001727155.1	GCSL_R135	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001727185.1	GCSL_R136	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppUS2	Yang
GCF_001727195.1	GCSL_R137	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppUS2	Yang
GCF_001727205.1	GCSL_R138	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppUS2	Yang
GCF_001727265.1	GCSL_R143	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppUS1	Yang
GCF_001727275.1	GCSL_R144	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppUS1	Yang
GCF_001727295.1	GCSL_R145	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppUS1	Yang
GCF_001727245.1	GCSL_R146	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppUS1	Yang
GCF_001727305.1	GCSL_R149	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppUS2	Yang
GCF_001727345.1	GCSL_R150	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppUS2	Yang
GCF_001726345.1	GCSL_R16	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppUS1	Yang
GCF_001726275.1	GCSL_R17	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001726355.1	GCSL_R21	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001726335.1	GCSL_R26	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppUS1	Yang
GCF_001726325.1	GCSL_R29	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppUS1	Yang
GCF_001726405.1	GCSL_R30	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppUS2	Yang
GCF_001726415.1	GCSL_R31	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppUS2	Yang
GCF_001726445.1	GCSL_R32	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppUS2	Yang
GCF_001726435.1	GCSL_R33	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	Hybrid	Yang
GCF_001726485.1	GCSL_R42	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppUS1	Yang
GCF_001726495.1	GCSL_R45	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppUS1	Yang
GCF_001726515.1	GCSL_R47	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppUS1	Yang
GCF_001726165.1	GCSL_R5	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001726535.1	GCSL_R51	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001726565.1	GCSL_R52	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001726575.1	GCSL_R53	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001726595.1	GCSL_R54	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001726615.1	GCSL_R55	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001726655.1	GCSL_R56	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001726645.1	GCSL_R57	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	Hybrid	Yang
GCF_001726685.1	GCSL_R59	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppUS1	Yang
GCF_001726265.1	GCSL_R6	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001726695.1	GCSL_R60	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001726725.1	GCSL_R62	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppUS2	Yang
GCF_001726735.1	GCSL_R63	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001726755.1	GCSL_R65	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppUS2	Yang
GCF_001726195.1	GCSL_R7	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppX	Yang
GCF_001726775.1	GCSL_R74	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001726805.1	GCSL_R75	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001726815.1	GCSL_R76	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001726845.1	GCSL_R77	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001726185.1	GCSL_R8	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppX	Yang
GCF_001726885.1	GCSL_R86	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppUS1	Yang
GCF_001726855.1	GCSL_R87	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001726895.1	GCSL_R88	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001726915.1	GCSL_R95	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001726935.1	GCSL_R96	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppUS1	Yang
GCF_001726965.1	GCSL_R98	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001726985.1	GCSL_R99	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001913695.1	GIMxtf283-2012.12	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001913785.1	GIMxtf381-2013.06	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001913735.1	GIMxtfL61-2011.05	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001913745.1	GIMxtfL65-2011.05	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001913775.1	GIMxtfL71-2011.05	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001921805.1	GIMxtfL88-2011.05	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001541615.1	Gxw_7004	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001541625.1	Gxw_9143	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001608595.1	H11523	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppX	Yang
GCF_001608895.1	H18983	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppX	Yang
GCF_001608615.1	H64024	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppX	Yang
GCF_001270125.1	HS-13-1	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000522025.2	IDH02189	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000521825.2	IDH02640	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001267555.1	ISF-01-07	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001267595.1	ISF-25-6	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppX	Yang
GCF_001273575.1	ISF-29-3	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001280635.1	ISF-54-12	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppUS2	Yang
GCF_001270285.1	ISF-77-01	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001280645.1	ISF-94-1	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000958655.1	J-C2-34	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppUS2	Yang
GCF_001188035.2	K1198	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppX	Yang
GCF_000958585.1	K1275	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000958575.1	K1461	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppX	Yang
GCF_001497485.1	K23	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001720365.1	Klin	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001707995.1	KVp10	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppUS2	Yang
GCA_000523375.1	M0605	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppX	Yang
GCF_001608545.1	M59787	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppX	Yang
GCF_001023055.1	MAVP-26	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppX	Yang
GCF_001023105.1	MAVP-36	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppX	Yang
GCF_001007535.1	MAVP-45	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppX	Yang
GCF_001007525.1	MAVP-E	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001023155.1	MAVP-M	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001007545.1	MAVP-V	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppX	Yang
GCF_001996365.1	MVP1	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000813305.1	NBRC 12711	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000736325.1	NCKU_CV_CHN	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppX	Yang
GCF_000736345.1	NCKU_TN_S02	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000736335.1	NCKU_TV_3HP	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000736315.1	NCKU_TV_5HP	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000454265.1	NIHCB0603	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000477475.1	NIHCB0757	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001471485.2	NSV 5736	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppX	Yang
GCF_000347495.1	PCV08-7	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000522065.2	Peru-288	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCA_001270805.1	PMA109.5	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001270835.1	PMA37.5	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001270895.1	PMC14.7	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001270905.1	PMC48	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001270815.1	PMC58.5	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001270825.1	PMC58.7	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001704915.1	R10B2_71	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppUS2	Yang
GCF_000196095.1	RIMD 2210633	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001267965.1	RM-13-3	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001273555.1	RM-14-5	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppUS1	Yang
GCF_001267655.1	RM-17-6	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppX	Yang
GCF_000492095.1	S001	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000492075.1	S002	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000492055.1	S003	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000492035.1	S004	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000492015.1	S005	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000491995.1	S008	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000491975.1	S009	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000491955.1	S011	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000491935.1	S012	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000491915.1	S013	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000491895.1	S014	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000491875.1	S015	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000491855.1	S016	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000491835.1	S017	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000491815.1	S018	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000491795.1	S019	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	Hybrid	Yang
GCF_000491775.1	S020	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000491755.1	S021	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000491735.1	S022	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000491715.1	S023	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000491695.1	S024	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000491675.1	S025	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000491655.1	S026	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000491635.1	S027	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000491615.1	S028	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000491595.1	S029	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000491575.1	S030	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000491555.1	S031	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000491535.1	S032	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000491515.1	S033	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000491495.1	S034	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000491475.1	S035	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000491455.1	S036	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000491435.1	S037	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppX	Yang
GCF_000491415.1	S038	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppX	Yang
GCF_000491395.1	S039	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000491375.1	S040	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000491355.1	S041	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000491335.1	S042	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000491315.1	S043	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000491295.1	S044	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000491275.1	S045	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000491255.1	S046	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppX	Yang
GCF_000491235.1	S047	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000491215.1	S048	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppX	Yang
GCF_000491195.1	S049	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000491175.1	S052	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppUS1	Yang
GCF_000491155.1	S053	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000491135.1	S054	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000491115.1	S055	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000491095.1	S056	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000491075.1	S057	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000491055.1	S058	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000491035.1	S060	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000491015.1	S062	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
